Country,cause,val
Denmark,Neurological disorders,3783.266437
Denmark,Mental disorders,0.561188084
Egypt,Transport injuries,30827.09301
Egypt,Substance use disorders,232.287602
Egypt,Diabetes and kidney diseases,42489.0386
Dominica,Neoplasms,181.7772499
Croatia,Unintentional injuries,1579.084162
Colombia,Substance use disorders,250.4089986
Colombia,Diabetes and kidney diseases,16552.0632
Denmark,Digestive diseases,2683.932924
Russian Federation,Digestive diseases,90886.93559
Russian Federation,Unintentional injuries,55467.25697
Uganda,Chronic respiratory diseases,5480.309812
Cuba,Enteric infections,266.0303416
Dominica,Nutritional deficiencies,2.421711339
Denmark,Cardiovascular diseases,15330.18033
Denmark,Chronic respiratory diseases,4572.458307
Dominica,Neglected tropical diseases and malaria,0.361729493
Egypt,Other non-communicable diseases,8909.116587
Egypt,HIV/AIDS and sexually transmitted infections,186.82894
Egypt,Respiratory infections and tuberculosis,22266.22399
Egypt,Enteric infections,8857.78302
Vanuatu,HIV/AIDS and sexually transmitted infections,36.51740986
Vanuatu,Respiratory infections and tuberculosis,154.4565179
Switzerland,Nutritional deficiencies,95.12711657
Maldives,Other infectious diseases,11.03064916
Maldives,Maternal and neonatal disorders,81.8262148
Maldives,Substance use disorders,2.889326807
Maldives,Diabetes and kidney diseases,140.8279359
Dominica,Mental disorders,0.000385336
Russian Federation,Neurological disorders,61849.88153
Russian Federation,Mental disorders,6.729055206
Gabon,Cardiovascular diseases,2541.263345
Gabon,Musculoskeletal disorders,19.36633551
Gabon,Chronic respiratory diseases,308.1771368
Yemen,Musculoskeletal disorders,102.8955441
Yemen,Other non-communicable diseases,9235.390195
Croatia,Self-harm and interpersonal violence,741.9047287
Colombia,HIV/AIDS and sexually transmitted infections,2500.348676
Colombia,Respiratory infections and tuberculosis,8828.211139
Colombia,Enteric infections,915.703172
Colombia,Other infectious diseases,1038.120863
Colombia,Maternal and neonatal disorders,4730.348816
Croatia,Other non-communicable diseases,544.5810219
Croatia,Skin and subcutaneous diseases,13.3782539
Croatia,Transport injuries,432.6252198
Russian Federation,Chronic respiratory diseases,39390.41143
Russian Federation,Other non-communicable diseases,16635.58976
Yemen,Skin and subcutaneous diseases,45.12995623
Yemen,Transport injuries,12050.87469
Yemen,Mental disorders,0.039251519
Croatia,HIV/AIDS and sexually transmitted infections,8.049972455
Croatia,Respiratory infections and tuberculosis,633.269322
Gambia,Neglected tropical diseases and malaria,711.5386786
Myanmar,Nutritional deficiencies,1386.359572
Vanuatu,Self-harm and interpersonal violence,54.61959895
Switzerland,Neglected tropical diseases and malaria,2.889640323
Costa Rica,Neoplasms,6048.855995
Dominica,Chronic respiratory diseases,21.86306046
Puerto Rico,Self-harm and interpersonal violence,945.4928035
Yemen,Digestive diseases,4876.842516
Yemen,Neurological disorders,2650.732101
Russian Federation,Musculoskeletal disorders,2084.899778
Dominica,Digestive diseases,25.11590688
Egypt,Unintentional injuries,7502.590538
Denmark,Skin and subcutaneous diseases,116.6334807
Denmark,Transport injuries,318.6041298
Uganda,Neoplasms,21648.1416
Puerto Rico,Transport injuries,429.3607025
Puerto Rico,Unintentional injuries,728.3555973
Russian Federation,Self-harm and interpersonal violence,61448.20378
Myanmar,Neoplasms,52674.15347
Côte d'Ivoire,HIV/AIDS and sexually transmitted infections,14599.1373
Côte d'Ivoire,Respiratory infections and tuberculosis,24085.52016
Côte d'Ivoire,Enteric infections,9807.516751
Côte d'Ivoire,Other infectious diseases,4803.755102
Côte d'Ivoire,Maternal and neonatal disorders,25299.71779
Gambia,Nutritional deficiencies,115.8212897
Switzerland,Cardiovascular diseases,23968.94323
Gabon,Mental disorders,0.033751094
Switzerland,Digestive diseases,2972.129855
Switzerland,Neurological disorders,6858.76375
Denmark,Musculoskeletal disorders,300.1966479
